2025-04-30 21:34:33.100 +03:00 [INF] Прогмамма запустилась
2025-04-30 21:34:33.153 +03:00 [INF] Создание основних папок хранения
2025-04-30 21:34:33.740 +03:00 [INF] путь установки загруки файлов пользователя
2025-04-30 21:34:37.251 +03:00 [WRN] Елемент ще не загрузився
2025-04-30 21:34:38.266 +03:00 [INF] Елемент успішно загрузився
2025-04-30 21:34:39.126 +03:00 [WRN] Елемент ще не загрузився
2025-04-30 21:34:40.147 +03:00 [INF] Елемент успішно загрузився
2025-04-30 21:34:40.149 +03:00 [INF] Переходимо у вибор через що будемо заходити
2025-04-30 21:34:40.532 +03:00 [WRN] Елемент ще не загрузився
2025-04-30 21:34:41.544 +03:00 [WRN] Елемент ще не загрузився
2025-04-30 21:34:42.557 +03:00 [WRN] Елемент ще не загрузився
2025-04-30 21:34:43.581 +03:00 [WRN] Елемент ще не загрузився
2025-04-30 21:34:44.592 +03:00 [INF] Елемент успішно загрузився
2025-04-30 21:34:44.594 +03:00 [INF] Вводимо данные
2025-04-30 21:34:44.746 +03:00 [INF] Переходимо далее
2025-04-30 21:34:45.124 +03:00 [INF] Подтверджение особы
2025-04-30 21:34:45.135 +03:00 [WRN] Елемент ще не загрузився
2025-04-30 21:34:48.868 +03:00 [WRN] Елемент ще не загрузився
2025-04-30 21:34:49.886 +03:00 [INF] Елемент успішно загрузився
2025-04-30 21:34:51.369 +03:00 [WRN] Елемент ще не загрузився
2025-04-30 21:34:52.399 +03:00 [WRN] Елемент ще не загрузився
2025-04-30 21:34:53.413 +03:00 [WRN] Елемент ще не загрузився
2025-04-30 21:34:54.438 +03:00 [WRN] Елемент ще не загрузився
2025-04-30 21:34:55.461 +03:00 [WRN] Елемент ще не загрузився
2025-04-30 21:34:56.486 +03:00 [WRN] Елемент ще не загрузився
2025-04-30 21:34:57.510 +03:00 [WRN] Елемент ще не загрузився
2025-04-30 21:34:58.528 +03:00 [INF] Елемент успішно загрузився
2025-04-30 21:34:59.694 +03:00 [WRN] Елемент ще не загрузився
2025-04-30 21:35:00.714 +03:00 [INF] Елемент успішно загрузився
2025-04-30 21:35:00.947 +03:00 [WRN] Елемент ще не загрузився
2025-04-30 21:35:01.958 +03:00 [INF] Елемент успішно загрузився
2025-04-30 21:35:02.565 +03:00 [WRN] Елемент ще не загрузився
2025-04-30 21:35:03.580 +03:00 [WRN] Елемент ще не загрузився
2025-04-30 21:35:04.592 +03:00 [WRN] Елемент ще не загрузився
2025-04-30 21:35:05.616 +03:00 [WRN] Елемент ще не загрузився
2025-04-30 21:35:06.636 +03:00 [WRN] Елемент ще не загрузився
2025-04-30 21:35:07.660 +03:00 [WRN] Елемент ще не загрузився
2025-04-30 21:35:08.673 +03:00 [WRN] Елемент ще не загрузився
